Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
nuspa,"TRY3,448.81",625,"15,866",0.00,"(nuspa, nuspa masaj)"
spa,"TRY6,995.92","2,115","14,831",0.00,"(spa, grupanya spa, milagro spa)"
yakala co,"TRY6,076.53","4,199","14,055",0.00,"(yakala co, yakala co izmir, yakala co istanbul)"
polonezköy,"TRY5,385.98","1,156","13,694",0.00,"(polonezköy kahvaltı, polonezköy kahvaltı mekanları)"
masajı,"TRY2,990.97",741,"12,105",0.00,"(g5 masajı, çift masajı)"
g5,TRY875.31,284,"10,005",0.00,(g5 masajı)
cilt bakımı,"TRY1,769.38",425,"9,963",0.00,"(cilt bakımı, hydrafacial cilt bakımı)"
35,"TRY4,242.60","2,601","9,260",0.00,(fırsat 35)
park,TRY946.90,503,"8,930",0.00,"(dolusu park, waterhill park)"
bilet,TRY657.84,126,"8,796",0.00,(emaar akvaryum bilet)
dolusu,TRY708.38,425,"7,115",0.00,(dolusu park)
üsküdar,TRY660.99,775,"6,964",0.00,(üsküdar iftar mekanları)
groupon,"TRY3,802.49","1,580","6,433",0.00,(groupon)
dr,"TRY1,387.36",415,"6,370",0.00,(dr well)
well,"TRY1,387.36",415,"6,370",0.00,(dr well)
waterhill,TRY818.90,277,"5,391",0.00,"(waterhill, waterhill park)"
club,TRY600.88,142,"5,062",0.00,(aqua club dolphin)
masaj salonu,"TRY1,681.18",366,"4,360",0.00,"(masaj salonu, ankara masaj salonu)"
yakası iftar,TRY466.17,613,"4,196",0.00,"(avrupa yakası iftar mekanları, anadolu yakası iftar mekanları)"
koza,TRY726.73,160,"4,126",0.00,(koza garden)
garden,TRY726.73,160,"4,126",0.00,(koza garden)
otel,"TRY3,855.56","1,585","3,977",0.00,"(grupanya otel, eser otel)"
hotel,TRY886.06,122,"3,922",0.00,"(baia hotel bursa, gönen hotel)"
siteleri,"TRY3,557.48","1,339","3,724",0.00,(fırsat siteleri)
kirpik,TRY140.75,33,"3,243",0.00,(kirpik lifting)
lifting,TRY140.75,33,"3,243",0.00,(kirpik lifting)
havuz,"TRY1,096.32",735,"3,185",0.00,"(wonders havuz, grupanya havuz)"
at,TRY727.35,168,"2,980",0.00,(başarır at çiftliği)
çiftliği,TRY727.35,168,"2,980",0.00,(başarır at çiftliği)
başarır,TRY727.35,168,"2,980",0.00,(başarır at çiftliği)
adaland,TRY509.60,182,"2,935",0.00,(adaland)
fırsatı,"TRY1,263.04",691,"2,926",0.00,(şehir fırsatı)
fırsat35,"TRY1,209.53",829,"2,697",0.00,(fırsat35)
teknede,"TRY1,573.67",338,"2,548",0.00,(teknede iftar)
dinopark,TRY189.95,47,"2,488",0.00,(dinopark)
hydrafacial,TRY182.62,51,"2,350",0.00,(hydrafacial cilt bakımı)
baia,TRY592.17,85,"2,258",0.00,(baia hotel bursa)
milagro,TRY636.71,163,"2,218",0.00,(milagro spa)
fırsatme,TRY80.60,44,"2,147",0.00,(fırsatme)
avrupa,TRY237.31,321,"2,122",0.00,(avrupa yakası iftar mekanları)
çift,"TRY2,115.65",457,"2,100",0.00,(çift masajı)
anadolu,TRY228.86,292,"2,074",0.00,(anadolu yakası iftar mekanları)
sansai,TRY252.30,74,"2,061",0.00,(sansai spa)
west,TRY463.58,118,"1,910",0.00,(west city spa)
city,TRY463.58,118,"1,910",0.00,(west city spa)
atlantis,TRY384.65,78,"1,906",0.00,(aqua atlantis)
grupfoni,"TRY1,166.58",480,"1,865",0.00,(grupfoni)
goga,TRY82.43,46,"1,834",0.00,(goga beach)
beach,TRY82.43,46,"1,834",0.00,(goga beach)
fiyat,TRY44.83,19,"1,789",0.00,(emaar akvaryum fiyat)
aquapark,TRY78.29,35,"1,764",0.00,(dolphin aquapark)
fes,TRY85.59,42,"1,746",0.00,(fes spa bornova)
bornova,TRY85.59,42,"1,746",0.00,(fes spa bornova)
wonders,TRY145.89,64,"1,686",0.00,(wonders havuz)
gönen,TRY293.89,37,"1,664",0.00,(gönen hotel)
hamam,TRY89.63,45,"1,661",0.00,(hamam)
avm,TRY132.45,27,"1,625",0.00,(emaar avm akvaryum)
bahçeşehir,TRY185.41,55,"1,613",0.00,(aqua dolphin bahçeşehir)
eser,TRY168.17,20,"1,580",0.00,(eser otel)
yerleri,TRY131.36,192,"1,548",0.00,(iftar yerleri)
sarıyer,TRY124.67,49,"1,546",0.00,(göze sarıyer)
göze,TRY124.67,49,"1,546",0.00,(göze sarıyer)
